fullname,affiliation,affil_city,affil_country
STEFFEN E PETERSEN,Queen Mary University of London,London,United Kingdom
ANDREW J TAYLOR,Baker Heart and Diabetes Institute,Melbourne,Australia
RAYMOND Y KWONG,NA,NA,NA
ZHI-GANG YANG,Shanghai Key Lab of Vehicle Aerodynamics and Vehicle Thermal Management Systems,Shanghai,China
HUI LIU,NA,NA,NA
YUAN LI,NA,NA,NA
LEI XU,Shanghai Jiao Tong University,Shanghai,China
SEBASTIAN J REINSTADLER,Medizinische Universitat Innsbruck,Innsbruck,Austria
MARCO MERLO,NA,NA,NA
YINING WANG,NA,NA,NA
YUAN LI,Tsinghua University,Beijing,China
SHIHUA ZHAO,NA,NA,NA
PHILIPP LURZ,Herzzentrum Leipzig,Leipzig,Germany
LESLIE T COOPER,Mayo Clinic in Jacksonville, Florida,Jacksonville,United States
STEVEN A MULLER,NA,NA,NA
GABRIELLA CAPTUR,NA,NA,NA
AMBARISH PANDEY,UT Southwestern Medical Center,Dallas,United States
ALBERTO CIPRIANI,Scuola di Medicina e Chirurgia,Padua,Italy
YUCHENG CHEN,NA,NA,NA
ETHAN J ROWIN,NA,NA,NA
MARIANNA FONTANA,Istituto Nazionale di Fisica Nucleare, Sezione di Bologna,Bologna,Italy
CARMEN OLMOS,Hospital Clínico San Carlos,Madrid,Spain
BJOERN P SCHOENNAGEL,NA,NA,NA
LIAN-MING WU,Renji Hospital,Shanghai,China
YUMIN ZHONG,Shanghai Children's Medical Center,Shanghai,China
JOÃO A C LIMA,NA,NA,NA
JIANG LI,Harbin Institute of Technology,Harbin,China
JIAYU SUN,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
CHUL HWAN PARK,Kwangwoon University,Seoul,South Korea
HANG CHEN,NA,NA,NA
MINJIE LU,Shenzhen Institute of Advanced Technology,Shenzhen,China
XI-MING WANG,Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
DIMITRIOS MITSOURAS,NA,NA,NA
SANJAY K PRASAD,Royal Brompton Hospital,London,United Kingdom
SEUNG-JAE MYUNG,University of Ulsan College of Medicine,Seoul,South Korea
ROHAN DHARMAKUMAR,NA,NA,NA
SANJAY K PRASAD,NA,NA,NA
MARTIN SINN,Universitätsklinikum Hamburg-Eppendorf,Hamburg,Germany
YULI HUANG,Southern Medical University,Guangzhou,China
LUCA SABA,NA,NA,NA
MIN-FU YANG,NA,NA,NA
TOSHINORI HIRAI,Kumamoto University,Kumamoto,Japan
EDYTA BLASZCZYK,Deutsches Zentrum für Herz-Kreislauf-Forschung e. V.,Berlin,Germany
URSULA REITER,NA,NA,NA
LIQING PENG,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
GUI FEN YANG,Medical School of Nanjing University,Nanjing,China
TAO LI,Chinese University of Hong Kong,Hong Kong,Hong Kong
ENVER TAHIR,Universitätsklinikum Hamburg-Eppendorf,Hamburg,Germany
WEIWU YAO,NA,NA,NA
FRANÇOIS PONTANA,CHU Lille,Lille,France
CHIARA BUCCIARELLI-DUCCI,NA,NA,NA
JI WON LEE,NA,NA,NA
REZA NEZAFAT,Harvard Medical School,Boston,United States
NEGAR OMIDI,Tehran Heart Center,Tehran,Iran
MARK K FRIEDBERG,NA,NA,NA
MARIA CHIARA MEUCCI,NA,NA,NA
LONG JIANG ZHANG,Medical School of Nanjing University,Nanjing,China
KADY FISCHER,University Hospital Bern,Bern,Switzerland
BYOUNG WOOK CHOI,NA,NA,NA
MARK S LINK,UT Southwestern Medical School,Dallas,United States
BERND J WINTERSPERGER,University of Toronto Faculty of Medicine,Toronto,Canada
ENVER TAHIR,NA,NA,NA
JULIAN A LUETKENS,NA,NA,NA
JUERG SCHWITTER,Centre Hospitalier Universitaire Vaudois,Lausanne,Switzerland
GUANGYU TANG,Tongji University School of Medicine,Shanghai,China
CHRISTOPH GRÄNI,NA,NA,NA
EMANUELE NERI,Università di Pisa,Pisa,Italy
MAXIM AVANESOV,Universitätsklinikum Hamburg-Eppendorf,Hamburg,Germany
YU-HSIANG JUAN,NA,NA,NA
HUBERT COCHET,Université de Bordeaux,Bordeaux,France
LIAN-MING WU,NA,NA,NA
MINGXING XIE,Hubei Province Key Laboratory of Molecular Imaging,Wuhan,China
AHMED S ABDELRAHMAN,Faculty of Medicine - Ain Shams University,Cairo,Egypt
MICHAEL JEROSCH-HEROLD,NA,NA,NA
HONGJIE HU,Zhejiang University School of Medicine,Hangzhou,China
DAVID E NEWBY,NA,NA,NA
MICHAEL MARKL,Northwestern University,Evanston,United States
GRIGORIOS KOROSOGLOU,GRN Academic Teaching Hospital Weinheim,Weinheim,Germany
ZHI-GANG YANG,NA,NA,NA
TOSHINORI HIRAI,NA,NA,NA
VANESSA M FERREIRA,NA,NA,NA
CHETAN SHENOY,NA,NA,NA
FILIPPO CADEMARTIRI,IRCCS Fondazione SDN,Naples,Italy
GIUSEPPE LIMONGELLI,NA,NA,NA
